task               model                        ver  size  rows   $/row  in/row  out/row
count-engine       gpt-5.4-nano-2026-03-17      v7     11    26  0.0002     723       35
count-engine       gpt-5.4-nano-2026-03-17      v7    110    21  0.0002     723       35
count-engine       gpt-5.4-nano-2026-03-17      v7    330    21  0.0002     724       35
count-engine       gpt-oss-20b                  v2     11    13  0.0001     746      430
count-engine       gpt-oss-20b                  v2    110    20  0.0002     875      459
count-engine       gpt-oss-20b                  v2   1100    21  0.0002     973      445
count-engine       gpt-oss-20b                  v7     11    26  0.0001     744      454
count-engine       gpt-oss-20b                  v7    110    21  0.0001     745      373
count-engine       gpt-oss-20b                  v7    330    21  0.0001     748      362
count-engine       qwen3-next-80b-a3b-thinking  v7    330     6  0.0036     681     2895
count-in-context   gemini-2.5-flash             v1     11    26  0.0008      75      300
count-in-context   gemini-2.5-flash             v1    110    21  0.0041     559     1571
count-in-context   gemini-2.5-flash             v1   1100    21  0.0517    6360    19897
count-in-context   gemini-2.5-flash             v2     11    26  0.0008      75      306
count-in-context   gemini-2.5-flash             v2    110    21  0.0043     559     1670
count-in-context   gemini-2.5-flash             v2   1100    21  0.0382    6360    14508
count-in-context   gemini-3.7-flash             v1     11    26  0.0009      70      224
count-in-context   gemini-3.7-flash             v1    110    21  0.0059     554     1457
count-in-context   gemini-3.7-flash             v1   1100    21  0.0447    6355    10639
count-in-context   gemini-3.7-flash             v2     11    26  0.0009      70      232
count-in-context   gemini-3.7-flash             v2    110    21  0.0059     554     1469
count-in-context   gemini-3.7-flash             v2   1100    21  0.0413    6355     9755
count-in-context   gemini-3.7-flash             v3     11    26  0.0009      70      214
count-in-context   gemini-3.7-flash             v3    110    21  0.0060     554     1480
count-in-context   gemini-3.7-flash             v3   1100    21  0.0343    6355     7874
count-python-told  claude-haiku-4-5-20251001    v2     11    20  0.0023    1860       90
count-python-told  claude-haiku-4-5-20251001    v2    110    20  0.0032    2749       89
count-python-told  claude-haiku-4-5-20251001    v2    330     5  0.0054    4986       90
count-python-told  claude-opus-5-default        v2    330     1  0.0184    4718       76
count-python-told  claude-sonnet-5-default      v2     11    16  0.0043    1699       87
count-python-told  claude-sonnet-5-default      v2    330     3  0.0104    4818       79
count-python-told  gemini-2.5-flash             v2     11    16  0.0008     619      231
count-python-told  gemini-2.5-flash             v2    330     1  0.0024    5670      266
count-python-told  gemini-3.5-flash-lite        v2     11    25  0.0003     610       46
count-python-told  gemini-3.5-flash-lite        v2    110     9  0.0007    2064       50
count-python-told  gemini-3.5-flash-lite        v2    330    14  0.0018    5624       53
count-python-told  gemini-3.7-flash             v2     11    12  0.0011     714      158
count-python-told  gemini-3.7-flash             v2    110    17  0.0020    2134       98
count-python-told  gemini-3.7-flash             v2    330    21  0.0046    5684       87
count-python-told  gemini-3.8-flash             v2     11    16  0.0014     718      222
count-python-told  gemini-3.8-flash             v2    110     1  0.0021    2208      121
count-python-told  gemini-3.8-flash             v2    330    14  0.0051    6258      116
count-python-told  gemma-4-26b-a4b-it           v2     11    23  0.0004     815      528
count-python-told  gemma-4-26b-a4b-it           v2    110    21  0.0013    3204     1362
count-python-told  gemma-4-26b-a4b-it           v2    330    21  0.0026    8928     2027
count-python-told  gpt-5.4-mini-2026-03-17      v2     11    12  0.0008     745       45
count-python-told  gpt-5.4-mini-2026-03-17      v2    110     1  0.0014    1638       45
count-python-told  gpt-5.4-mini-2026-03-17      v2    330    14  0.0025    3873       47
count-python-told  gpt-5.4-nano-2026-03-17      v2     11    19  0.0002     760       52
count-python-told  gpt-5.4-nano-2026-03-17      v2    110    15  0.0004    1651       52
count-python-told  gpt-5.4-nano-2026-03-17      v2    330    21  0.0008    3882       53
count-python-told  gpt-oss-20b                  v2     11    26  0.0002     817      506
count-python-told  gpt-oss-20b                  v2    110    21  0.0002    1673      515
count-python-told  gpt-oss-20b                  v2    330    21  0.0005    4567     1164
count-python-told  qwen3-next-80b-a3b-thinking  v2     11    25  0.0025     985     1944
count-python-told  qwen3-next-80b-a3b-thinking  v2    110    21  0.0046    2002     3560
count-python-told  qwen3-next-80b-a3b-thinking  v2    330    21  0.0071    4806     5292
count-python-tool  claude-haiku-4-5-20251001    v6     11    26  0.0022    1799       89
count-python-tool  claude-haiku-4-5-20251001    v6    110    21  0.0031    2690       89
count-python-tool  claude-haiku-4-5-20251001    v6    330    21  0.0054    4920       89
count-python-tool  claude-opus-5-default        v6     11    26  0.0101    1504      103
count-python-tool  claude-opus-5-default        v6    110    21  0.0134    2362       76
count-python-tool  claude-opus-5-default        v6    330    21  0.0239    4591       76
count-python-tool  claude-sonnet-5-default      v6     11    26  0.0042    1627       90
count-python-tool  claude-sonnet-5-default      v6    110    21  0.0062    2561      110
count-python-tool  claude-sonnet-5-default      v6    330    21  0.0093    4727       78
count-python-tool  gemini-2.5-flash             v1     11    25  0.0008     555      250
count-python-tool  gemini-2.5-flash             v1    110     2  0.0011    2017      214
count-python-tool  gemini-2.5-flash             v2     11    20  0.0008     568      247
count-python-tool  gemini-2.5-flash             v2    110     2  0.0012    2005      233
count-python-tool  gemini-2.5-flash             v6     11    19  0.0008     564      257
count-python-tool  gemini-2.5-flash             v6    110     3  0.0012    2021      221
count-python-tool  gemini-3.5-flash-lite        v6     11    26  0.0003     550       45
count-python-tool  gemini-3.5-flash-lite        v6    110    21  0.0007    2008       50
count-python-tool  gemini-3.5-flash-lite        v6    330    21  0.0018    5561       53
count-python-tool  gemini-3.7-flash             v1     11    26  0.0017     882      266
count-python-tool  gemini-3.7-flash             v1    110    21  0.0020    2070      110
count-python-tool  gemini-3.7-flash             v1   1100    21  0.0150   19485       96
count-python-tool  gemini-3.7-flash             v2     11    26  0.0016     876      250
count-python-tool  gemini-3.7-flash             v2    110    21  0.0019    2069       99
count-python-tool  gemini-3.7-flash             v2   1100    21  0.0155   20126      104
count-python-tool  gemini-3.7-flash             v3     11    26  0.0016     888      262
count-python-tool  gemini-3.7-flash             v3    110    21  0.0020    2115      113
count-python-tool  gemini-3.7-flash             v3   1100    21  0.0150   19480       92
count-python-tool  gemini-3.7-flash             v6     11    26  0.0016     851      257
count-python-tool  gemini-3.7-flash             v6    110    21  0.0019    2064       96
count-python-tool  gemini-3.7-flash             v6    330    21  0.0048    5927      102
count-python-tool  gemini-3.8-flash             v6     11    26  0.0017     912      275
count-python-tool  gemini-3.8-flash             v6    110    21  0.0020    2077      123
count-python-tool  gemini-3.8-flash             v6    330    21  0.0053    6457      135
count-python-tool  gemma-4-26b-a4b-it           v6     11    26  0.0005     691      734
count-python-tool  gemma-4-26b-a4b-it           v6    110    21  0.0012    3112     1274
count-python-tool  gemma-4-26b-a4b-it           v6    330    21  0.0021    8050     1560
count-python-tool  gpt-5.4-mini-2026-03-17      v6     11    26  0.0007     692       45
count-python-tool  gpt-5.4-mini-2026-03-17      v6    110    21  0.0014    1584       45
count-python-tool  gpt-5.4-mini-2026-03-17      v6    330    21  0.0025    3816       47
count-python-tool  gpt-5.4-nano-2026-03-17      v6     11    26  0.0002     701       50
count-python-tool  gpt-5.4-nano-2026-03-17      v6    110    21  0.0004    1592       50
count-python-tool  gpt-5.4-nano-2026-03-17      v6    330    21  0.0009    4099       57
count-python-tool  gpt-oss-20b                  v6     11    26  0.0002     661      537
count-python-tool  gpt-oss-20b                  v6    110    21  0.0003    1676      923
count-python-tool  gpt-oss-20b                  v6    330    20  0.0007    4082     2040
count-python-tool  qwen3-next-80b-a3b-thinking  v6     11    20  0.0027    1056     2114
count-python-tool  qwen3-next-80b-a3b-thinking  v6    110    21  0.0061    2039     4835
count-python-tool  qwen3-next-80b-a3b-thinking  v6    330    21  0.0078    4567     5905
count-rows-tool    claude-haiku-4-5-20251001    v2     11    26  0.0021    1786       71
count-rows-tool    claude-haiku-4-5-20251001    v2    110    21  0.0024    1976       75
count-rows-tool    claude-haiku-4-5-20251001    v2    330    21  0.0032    2497      142
count-rows-tool    claude-opus-5-default        v2     11    26  0.0111    1719      132
count-rows-tool    claude-opus-5-default        v2    110    21  0.0152    2023      223
count-rows-tool    claude-opus-5-default        v2    330    21  0.0274    2682      579
count-rows-tool    claude-sonnet-5-default      v2     11    26  0.0044    1640      116
count-rows-tool    claude-sonnet-5-default      v2    110    21  0.0066    1820      296
count-rows-tool    claude-sonnet-5-default      v2    330    21  0.0087    2348      401
count-rows-tool    gemini-2.5-flash             v2     11    26  0.0009     392      309
count-rows-tool    gemini-2.5-flash             v2    110    20  0.0014     503      493
count-rows-tool    gemini-2.5-flash             v2    330    21  0.0018     717      648
count-rows-tool    gemini-3.7-flash             v2     11    26  0.0017     923      270
count-rows-tool    gemini-3.7-flash             v2    110    21  0.0057    1765     1161
count-rows-tool    gemini-3.7-flash             v2    330    21  0.0128    4057     2594
count-rows-tool    gemini-3.8-flash             v2     11    26  0.0021    1077      334
count-rows-tool    gemini-3.8-flash             v2    110    21  0.0066    2169     1332
count-rows-tool    gemini-3.8-flash             v2    330    21  0.0156    5102     3128
count-rows-tool    gemma-4-26b-a4b-it           v2     11    26  0.0003     566      414
count-rows-tool    gemma-4-26b-a4b-it           v2    110    21  0.0014     938     2170
count-rows-tool    gemma-4-26b-a4b-it           v2    330    21  0.0056    1965     8775
count-rows-tool    gpt-5.4-mini-2026-03-17      v2     11    26  0.0007     694       35
count-rows-tool    gpt-5.4-mini-2026-03-17      v2    110    21  0.0008     877       35
count-rows-tool    gpt-5.4-mini-2026-03-17      v2    330    21  0.0012    1405       36
count-rows-tool    gpt-5.4-nano-2026-03-17      v2     11    26  0.0002     694       35
count-rows-tool    gpt-5.4-nano-2026-03-17      v2    110    21  0.0002     877       35
count-rows-tool    gpt-5.4-nano-2026-03-17      v2    330    21  0.0003    1405       35
count-rows-tool    gpt-oss-20b                  v2     11    26  0.0002     702      467
count-rows-tool    gpt-oss-20b                  v2    110    21  0.0003     899     1094
count-rows-tool    gpt-oss-20b                  v2    330    21  0.0007    1427     2641
count-rows-tool    qwen3-next-80b-a3b-thinking  v2    330     3  0.0071    1505     5702
